```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Marine Bancorp of Florida,"Inc."","Arlington,"VA"","2018","Kenneth R. Lehman","Common Stock","603707","44.2%","n/a"
"Marine Bancorp of Florida,"Inc."","Washington,"MO"","2018","Douglas E. Hazel and his family members","Common Stock","166949","12.2%","n/a"
"Marine Bancorp of Florida,"Inc."","New York,"NY"","2018","Second First De Novo,"L.P."","Common Stock","98730","7.2%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Marine Bancorp of Florida,"Inc."","President/CEO","William J. Penney","President","n/a","2017","President"
"Marine Bancorp of Florida,"Inc."","Director","Kevin J. Given","Investor","D & G Investments","2017","Real Estate Management"
"Marine Bancorp of Florida,"Inc."","Director","Kevin J. Given","Investor","RIV,"LLC"","2017","Real Estate Management"
"Marine Bancorp of Florida,"Inc."","Director","Kevin J. Given","Investor","Black Oak Properties","2017","Real Estate Management"
"Marine Bancorp of Florida,"Inc."","Director","Erin K. Grall","Partner","Grall Law Group","2017","Attorney"
"Marine Bancorp of Florida,"Inc."","Director","Kenneth R. Lehman","Director","Delmar Bancorp","2017","Private Investor"
"Marine Bancorp of Florida,"Inc."","Director","Kenneth R. Lehman","Director","Village Bank & Trust Financial CorpVillage Bank","2017","Private Investor"
"Marine Bancorp of Florida,"Inc."","Director","Kenneth R. Lehman","Director","Heritage Bancorporation The Heritage Bank","2017","Private Investor"
"Marine Bancorp of Florida,"Inc."","Director","Kenneth R. Lehman","Director","Virginia Partners Bank","2017","Private Investor"
"Marine Bancorp of Florida,"Inc."","Director","Kenneth R. Lehman","Director","CCF Holding CompanyHeritage Bank","2017","Private Investor"
"Marine Bancorp of Florida,"Inc."","Director","Kenneth R. Lehman","Principal Stockholder","ABB Financial GroupAffinity Bank","2017","Private Investor"
"Marine Bancorp of Florida,"Inc."","Director","Kenneth R. Lehman","Principal Stockholder","Providence Bank","2017","Private Investor"
"Marine Bancorp of Florida,"Inc."","Director","Kenneth R. Lehman","Managing Member","BVC Capital,"LLC"","2017","Private Investor"
"Marine Bancorp of Florida,"Inc."","Shareholder","Douglas E. Hazel,"Kay H. Hazel and family members"","Manager","152 West LLC","2017","Douglas self employed"
"Marine Bancorp of Florida,"Inc."","Shareholder","Douglas E. Hazel,"Kay H. Hazel and family members"","No Position","BHP of Vero LLC","2017","Douglas self employed"
"Marine Bancorp of Florida,"Inc."","Shareholder","Douglas E. Hazel,"Kay H. Hazel and family members"","Managing Partner","GP-P&P","2017","Douglas self employed"
"Marine Bancorp of Florida,"Inc."","Shareholder","Douglas E. Hazel,"Kay H. Hazel and family members"","Managing Partner","Hazel Insurance General Partnership","2017","Douglas self employed"
"Marine Bancorp of Florida,"Inc."","Shareholder","Douglas E. Hazel,"Kay H. Hazel and family members"","General Partner","New Haven Development LP","2017","Douglas self employed"
"Marine Bancorp of Florida,"Inc."","Shareholder","Douglas E. Hazel,"Kay H. Hazel and family members"","Trustee","Douglas E Hazel Revocable Trust","2017","Douglas self employed"
"Marine Bancorp of Florida,"Inc."","Shareholder","Douglas E. Hazel,"Kay H. Hazel and family members"","Trustee","Alex 2003 Irrevocable Trust","2017","Douglas self employed"
"Marine Bancorp of Florida,"Inc."","Shareholder","Douglas E. Hazel,"Kay H. Hazel and family members"","Trustee","Andy 2003 Irrevocable Trust","2017","Douglas self employed"
"Marine Bancorp of Florida,"Inc."","Shareholder","Douglas E. Hazel,"Kay H. Hazel and family members"","Trustee","Kit 2003 Irrevocable Trust","2017","Douglas self employed"
"Marine Bancorp of Florida,"Inc."","Shareholder","Douglas E. Hazel,"Kay H. Hazel and family members"","Trustee","M.D. Jr. 2003 Irrevocable Trust","2017","Douglas self employed"
"Marine Bancorp of Florida,"Inc."","Shareholder","Douglas E. Hazel,"Kay H. Hazel and family members"","Trustee","Ernest Hazel III Marital Trust","2017","Douglas self employed"
"Marine Bancorp of Florida,"Inc."","Shareholder","Douglas E. Hazel,"Kay H. Hazel and family members"","Trustee","Ernest Hazel III Residuary Trust","2017","Douglas self employed"
"Marine Bancorp of Florida,"Inc."","Shareholder","Kay Hazel","President","Carriage Courts of Conway","2017","Kay retired"
"Marine Bancorp of Florida,"Inc."","Shareholder","Kay Hazel","Sole Owner and Manager","Hazels Plan LLC","2017","Kay retired"
"Marine Bancorp of Florida,"Inc."","Shareholder","Kay Hazel","No Position","Good Luck LLC","2017","Kay retired"
"Marine Bancorp of Florida,"Inc."","Shareholder","Kay Hazel","Vice President","Hazel Concepts","2017","Kay retired"
"Marine Bancorp of Florida,"Inc."","Shareholder","Kay Hazel","No Position","The Pointe Development","2017","Kay retired"
"Marine Bancorp of Florida,"Inc."","Shareholder","Kay Hazel","Trustee","Kay H Hazel Revocable Trust","2017","Kay retired"
"Marine Bancorp of Florida,"Inc."","Shareholder","Kay Hazel","Trustee","Ernest Hazel III Marital Trust","2017","Kay retired"
"Marine Bancorp of Florida,"Inc."","Shareholder","Kay Hazel","Trustee","Ernest Hazel III Residuary Trust","2017","Kay retired"
```
