```text
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"MidSouth Bancorp,"Inc."","New York,"NY"","2017","Jacobs Asset Management,"LLC"","Common Stock","927469","5.60%","n/a"
"MidSouth Bancorp,"Inc."","Many,"LA"","2017","Leonard Q Abington","Common Stock","821980","7.22%","n/a"
"MidSouth Bancorp,"Inc."","Winter Park,"FL"","2017","DePrince Race & Zollo Inc","Common Stock","630793","5.53%","n/a"
"MidSouth Bancorp,"Inc."","McLean,"Virginia"","2017","FJ Capital Mgmt","Common Stock","824000","5.14%","n/a"
"MidSouth Bancorp,"Inc."","Chicago,"IL"","2017","RMB Capital Management,"LLC"","Common Stock","846047","5.11%","n/a"
"MidSouth Bancorp,"Inc."","Lafayette,"LA"","2017","MidSouth Bancorp,"Inc. Employee Stock Ownership Plan"","Common Stock","740360","6.49%","n/a"
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"MidSouth Bancorp,"Inc."","Director","Clive R Cloutier","Former Director","MidSouth Bank,"N.A."","2017","Former President and CEO"
"MidSouth Bancorp,"Inc."","Director","Milton B Kidd,"III"","Partner","Kidd Tree Farm LLC","2017","Optometrist"
"MidSouth Bancorp,"Inc."","Director","Milton B Kidd,"III"","Partner","Kidd Taiglich LLC","2017","Optometrist"
"MidSouth Bancorp,"Inc."","Director","Milton B Kidd,"III"","Partner","Kidd Properties LLC","2017","Optometrist"
"MidSouth Bancorp,"Inc."","Director","Milton B Kidd,"III"","Partner","Contact Lens Clinic,"Inc"","2017","Optometrist"
"MidSouth Bancorp,"Inc."","Director","William M Simmons","n/a","n/a","2017","Private Investor Retired"
"MidSouth Bancorp,"Inc."","Director","James R Davis,"Jr"","Member","Quigley & Company,"LLC"","2017","President"
"MidSouth Bancorp,"Inc."","Director","James R Davis,"Jr"","member","Sabaka 8,"LLC"","2017","President"
"MidSouth Bancorp,"Inc."","Director","James R Davis,"Jr"","member","Design Innovations,"LLC"","2017","President"
"MidSouth Bancorp,"Inc."","Director","Timothy J Lemoine","President","T L Interests,"LLC"","2017","Real Estate Investor"
"MidSouth Bancorp,"Inc."","Director","Timothy J Lemoine","President","T Lemoine Partners,"LLC"","2017","Real Estate Investor"
"MidSouth Bancorp,"Inc."","Director","Timothy J Lemoine","Member","TLP Oil Center LLC","2017","Real Estate Investor"
"MidSouth Bancorp,"Inc."","Director","Timothy J Lemoine","Member","TLP Hawthorne LLC","2017","Real Estate Investor"
"MidSouth Bancorp,"Inc."","Director","Timothy J Lemoine","Member","TLP Resources,"LLC"","2017","Real Estate Investor"
"MidSouth Bancorp,"Inc."","Director","Timothy J Lemoine","General Partner","KP 1501 Hyde Park,"LLC"","2017","Real Estate Investor"
"MidSouth Bancorp,"Inc."","Director","Timothy J Lemoine","General Partner","KP Hyde Park,"LTD"","2017","Real Estate Investor"
"MidSouth Bancorp,"Inc."","Director","Timothy J Lemoine","General Partner","3-L Hyde Park LLC","2017","Real Estate Investor"
"MidSouth Bancorp,"Inc."","Director","R Glenn Pumpelly","Member","GP Holdings of Louisiana,"LLC"","2017","President"
"MidSouth Bancorp,"Inc."","President and CEO Director","James R McLemore","n/a","n/a","2017","Banker"
"MidSouth Bancorp,"Inc."","Chairman of the Board","Jake Delhomme","n/a","Set-Hut,"LLC"","2017","Business owner and Retired professional quarterback"
"MidSouth Bancorp,"Inc."","Chairman of the Board","Jake Delhomme","n/a","Sidelines Investments,"LLC"","2017","Business owner and Retired professional quarterback"
"MidSouth Bancorp,"Inc."","Sr. Executive Vice President & Chief Lending Officer","Jeff Blum","n/a","n/a","2017","Banker"
"MidSouth Bancorp,"Inc."","Director","Andrew G Hargroder","n/a","Andrew G. Hargroder,"MD"","2017","Physician"
"MidSouth Bancorp,"Inc."","Director","Andrew G Hargroder","n/a","Cypress Point Surgical Hospital","2017","Physician"
"MidSouth Bancorp,"Inc."","Sr. Executive Vice President & CRO","Erin Dewitt","Owner","NOLA Monograms,"LLC"","2017","Banker"
"MidSouth Bancorp,"Inc."","Sr. Executive Vice President & COO and CIO","Kade Peterson","n/a","n/a","2017","Banker"
"MidSouth Bancorp,"Inc."","CFO and Treasurer","Lorraine Miller","General Manager","LDM Management,"LLC"","2017","Banker"
```
