```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Captex Bancshares,"Inc."","DALLAS,"TEXAS"","2023","CLOVER PARTNERS SSI FUND LP","common stock","550768","15.95%","n/a"
"Captex Bancshares,"Inc."","NEWTON CENTRE,"MASSACHUSETTS"","2023","BAYBOSTON CAPITAL LP","common stock","372500","10.79%","n/a"
"Captex Bancshares,"Inc."","HOUSTON,"TEXAS"","2023","CPTX FLP HOLDINGS,"LLC"","common stock","261235","7.57%","n/a"
"Captex Bancshares,"Inc."","HOUSTON,"TEXAS"","2023","HOUSTON SPECIALTY INSURANCE CO","common stock","197000","5.70%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","Percentage of Voting Shares","RSSD_ID","Percentage of Voting Shares in Subsidiaries"
"Captex Bancshares,"Inc."","DIRECTOR","MARK WELSH,"IV"","n/a","VARIABLE VOSBURG WELSH LLC","2023","PRIVATE EQUITY EXECUTIVE","2.42%","n/a","n/a"
"Captex Bancshares,"Inc."","DIRECTOR","TONY SCHELL","n/a","n/a","2023","PRIVATE EQUITY EXECUTIVE","1.05%","n/a","n/a"
"Captex Bancshares,"Inc."","DIRECTOR","JAMES CONE","n/a","n/a","2023","MANAGES FAMILY OWNED BUSINESS","2.27%","n/a","n/a"
"Captex Bancshares,"Inc."","DIRECTOR","JAMES CONE","n/a","CONE MINERALS,"LLC"","2023","MANAGES FAMILY OWNED BUSINESS","2.27%","n/a","n/a"
"Captex Bancshares,"Inc."","MANAGER","JAMES CONE","n/a","CONE MINERALS,"LLC"","2023","MANAGES FAMILY OWNED BUSINESS","2.27%","n/a","n/a"
"Captex Bancshares,"Inc."","DIRECTOR","EDWARD H. ELLIS,"JR"","n/a","n/a","2023","RETIRED INSURANCE EXECUTIVE","1.38%","n/a","n/a"
"Captex Bancshares,"Inc."","PRINCIPAL","CLOVER PARTNERS SSI FUND LP","n/a","n/a","2023","EMPLOYEE OWNED INVESTMENT MANAGER","15.95%","n/a","n/a"
"Captex Bancshares,"Inc."","SHAREHOLDER","CLOVER PARTNERS SSI FUND LP","n/a","n/a","2023","EMPLOYEE OWNED INVESTMENT MANAGER","15.95%","n/a","n/a"
"Captex Bancshares,"Inc."","PRINCIPAL","BAYBOSTON CAPITAL LP","n/a","n/a","2023","A PRIVATE EQUITY FIRM","10.79%","n/a","n/a"
"Captex Bancshares,"Inc."","SHAREHOLDER","BAYBOSTON CAPITAL LP","n/a","n/a","2023","A PRIVATE EQUITY FIRM","10.79%","n/a","n/a"
```
